TEXT;predicted_label
Bagaimana cara mengganti kata sandi saya?;Netral
Apakah aplikasi ini mendukung mode malam?;Netral
Di mana saya bisa melihat riwayat pesanan?;Netral
Berapa biaya pengiriman ke wilayah Papua?;Netral
Apakah ada aplikasi untuk versi desktop?;Netral
Saya ingin bertanya mengenai metode pembayaran.;Netral
Kapan diskon besar berikutnya diadakan?;Netral
Siapa pengembang aplikasi ini?;Netral
Bagaimana sistem keamanan datanya?;Netral
Bisa tolong jelaskan fitur terbaru ini?;Netral
Daftar harga produk terbaru ada di mana?;Netral
Apakah bisa bayar di tempat untuk area Jawa?;Netral
Ada berapa banyak kategori produk yang tersedia?;Netral
Tolong kirimkan panduan penggunaan lewat email.;Netral
Saya lupa nomor pesanan saya.;Negatif
Apakah stoknya selalu tersedia setiap hari?;Positif
Bagaimana cara menghubungi admin lewat telepon?;Netral
Apakah ada promo untuk hari ini?;Netral
Bisa jelaskan syarat dan ketentuan garansi?;Netral
Lokasi toko fisik paling dekat di mana?;Positif
Apakah bahan ini cocok untuk kulit sensitif?;Netral
Tersedia ukuran apa saja untuk model ini?;Netral
Bisakah saya mengubah alamat pengiriman sekarang?;Netral
Bagaimana cara melakukan refund?;Netral
Apakah aplikasi ini gratis selamanya?;Netral
Dapatkah saya menggunakan kupon dua kali?;Netral
Berapa lama proses verifikasi akun?;Netral
Kenapa saya tidak bisa login hari ini?;Negatif
Bagaimana cara menghapus akun secara permanen?;Netral
Apakah data saya aman di server?;Netral
Apa keunggulan versi premium dibanding standar?;Netral
Berapa kapasitas maksimal penyimpanan data?;Netral
Bisa pakai kartu debit untuk transaksi ini?;Netral
Daftar reseller resmi ada di mana?;Netral
Apakah bisa dikirim ke luar negeri?;Netral
Kapan paket saya dikirim oleh penjual?;Netral
Bagaimana cara klaim poin hadiah?;Netral
Apakah ada batasan usia penggunaan?;Netral
Bisa minta foto asli produknya?;Netral
Kenapa aplikasinya sering minta update?;Negatif
Apa saja pilihan kurir yang tersedia?;Netral
Bagaimana cara membatalkan langganan?;Netral
Apakah ada tutorial video penggunaannya?;Netral
Bisa beli dalam jumlah grosir?;Netral
Apakah warna di foto 100% akurat?;Positif
Bagaimana sistem pembagian komisinya?;Netral
Siapa yang bisa saya hubungi saat darurat?;Netral
Apakah ada kantor cabangnya di Surabaya?;Netral
Bisa bayar pakai aplikasi dompet digital?;Netral
Kapan rilis versi terbaru aplikasinya?;Netral
Hari ini cuaca sangat tidak menentu di Jakarta.;Negatif
Gunung itu terlihat sangat megah dari sini.;Positif
Saya sedang merencanakan liburan ke Bali.;Netral
Buku ini menceritakan tentang sejarah kuno.;Netral
Hutan hujan tropis sangat penting bagi bumi.;Positif
Matahari terbit tepat pukul enam pagi.;Netral
Suara hujan membuat saya merasa tenang.;Positif
Sungai ini mengalir sampai ke laut Jawa.;Netral
Angin bertiup kencang sejak sore tadi.;Positif
Langit terlihat sangat cerah hari ini.;Positif
Taman kota sekarang sudah mulai ramai.;Netral
Banyak orang berolahraga di hari Minggu.;Netral
Pohon-pohon di sini sudah mulai berbuah.;Netral
Udara di pegunungan sangat menyegarkan.;Positif
Anak-anak sedang bermain di halaman rumah.;Netral
Kucing itu sedang tidur di atas kursi.;Netral
Saya suka melihat pemandangan sawah hijau.;Positif
Burung-burung berkicau di pagi hari.;Netral
Suhu udara hari ini mencapai 32 derajat.;Netral
Pesisir pantai sangat indah saat sunset.;Positif
Kita harus menjaga kebersihan lingkungan kita.;Netral
Tanaman di pot ini perlu disiram segera.;Netral
Bunga mawar merah sedang mekar dengan cantik.;Netral
Jalanan di sini sedang diperbaiki pemda.;Netral
Kopi pagi ini terasa sangat nikmat.;Positif
Sarapan adalah waktu makan paling penting.;Positif
Besok saya akan pergi ke perpustakaan daerah.;Netral
Lampu jalan sudah mulai menyala.;Netral
Trotoar ini sekarang lebih luas dari sebelumnya.;Netral
Pasar tradisional menjual banyak sayur segar.;Netral
Ikan di akuarium ini sangat lincah berenang.;Positif
Air sungai ini jernih sekali warnanya.;Positif
Banyak mobil melintas di jalan tol.;Netral
Kereta api berangkat tepat sesuai jadwal.;Positif
Pesawat itu sedang terbang menuju arah utara.;Netral
Pelabuhan ini sangat sibuk di malam hari.;Positif
Terminal bis sekarang sudah lebih rapi.;Positif
Museum ini menyimpan banyak koleksi berharga.;Netral
Gedung pencakar langit menghiasi pusat kota.;Netral
Monumen nasional menjadi ikon kota ini.;Netral
Stadion olahraga dipenuhi oleh para penonton.;Netral
Perpustakaan ini koleksi bukunya sangat lengkap.;Positif
Universitas ini memiliki gedung yang megah.;Netral
Sekolah dasar di desa itu baru direnovasi.;Netral
Puskesmas melayani warga dengan penuh kesabaran.;Positif
Kantor pos masih melayani pengiriman surat.;Netral
Bank buka mulai jam delapan pagi.;Netral
Anjungan tunai mandiri tersedia di setiap sudut.;Netral
Supermarket ini menjual produk impor.;Netral
Toko buku selalu menjadi tempat favorit saya.;Positif
Kedai kopi ini punya barista yang handal.;Netral
Restoran ini menu utamanya adalah rendang.;Netral
Warung makan di pojok jalan itu sangat murah.;Positif
Hotel ini punya kolam renang di lantai atas.;Netral
Apartemen ini lokasinya sangat strategis.;Positif
Rumah sakit pusat memiliki fasilitas lengkap.;Netral
Dokter sedang memeriksa pasien di ruangannya.;Netral
Apotek ini buka selama dua puluh empat jam.;Netral
Pasar malam menjual berbagai macam kuliner.;Netral
Taman bermain sangat disukai anak kecil.;Positif
Kebun binatang punya koleksi hewan langka.;Netral
Candi Borobudur adalah warisan dunia.;Netral
Danau Toba memiliki pemandangan yang eksotis.;Netral
Air terjun ini suaranya sangat keras.;Positif
Goa ini gelap namun sangat menakjubkan.;Positif
Pulau Komodo dihuni oleh hewan purba.;Netral
Hutan pinus ini cocok untuk tempat berkemah.;Netral
Sawah terasering terlihat sangat artistik.;Positif
Petani sedang menanam padi di sawah.;Netral
Nelayan berangkat melaut saat malam hari.;Netral
Pasar ikan menyediakan banyak hasil laut.;Netral
Tukang kebun sedang memotong rumput.;Netral
Polisi sedang mengatur lalu lintas di simpang.;Netral
Pemadam kebakaran bersiaga di kantornya.;Netral
Tentara menjaga kedaulatan negara kita.;Netral
Satpam berjaga di depan pintu masuk.;Netral
Kurir sedang mengantarkan paket ke rumah.;Netral
Supir bis mengemudi dengan sangat hati-hati.;Positif
Pilot mempersiapkan pesawat sebelum terbang.;Netral
Nahkoda kapal mengarahkan kapal ke dermaga.;Netral
Masinis mengoperasikan kereta api listrik.;Netral
Pramugari melayani penumpang dengan ramah.;Netral
Pelayan restoran mencatat pesanan pelanggan.;Netral
Kasir menghitung total belanjaan saya.;Netral
Penjahit sedang membuat pola baju baru.;Netral
Tukang bangunan menyusun batu bata.;Netral
Arsitek sedang menggambar desain gedung.;Netral
Insinyur memeriksa mesin di pabrik.;Netral
Programmer sedang menulis baris kode program.;Netral
Desainer grafis membuat logo perusahaan.;Netral
Penulis sedang menyelesaikan naskah bukunya.;Netral
Wartawan meliput berita di lapangan.;Netral
Guru sedang mengajar di dalam kelas.;Netral
Dosen memberikan kuliah di aula besar.;Netral
Kecerdasan buatan berkembang sangat pesat.;Positif
Jaringan 5G mulai diterapkan secara merata.;Netral
Smartphone lipat menjadi tren teknologi baru.;Netral
Laptop dengan prosesor terbaru sangat kencang.;Positif
Virtual reality memberikan pengalaman unik.;Netral
Blockchain bisa digunakan untuk banyak hal.;Netral
Internet of things menghubungkan peralatan rumah.;Netral
Robotika membantu industri manufaktur.;Netral
Kendaraan listrik lebih ramah terhadap lingkungan.;Positif
Energi surya menjadi sumber listrik alternatif.;Netral
Cloud computing memudahkan penyimpanan data.;Netral
Cyber security sangat penting di era digital.;Positif
Data science membantu pengambilan keputusan.;Netral
Machine learning bisa memprediksi masa depan.;Netral
Deep learning meniru cara kerja otak manusia.;Netral
Metaverse menjadi ruang diskusi yang menarik.;Positif
NFT memberikan hak milik digital yang sah.;Netral
E-wallet memudahkan proses transaksi harian.;Netral
Streaming video menggantikan televisi kabel.;Netral
Podcast menjadi media informasi baru.;Netral
Media sosial menghubungkan orang di dunia.;Netral
E-commerce mengubah cara kita berbelanja.;Netral
Fintech memberikan solusi keuangan modern.;Netral
Edutech membantu proses belajar mengajar.;Netral
Healthtech memudahkan konsultasi dengan dokter.;Netral
Agrotech meningkatkan produktivitas petani.;Netral
Smart city menggunakan teknologi untuk warga.;Netral
Smart home membuat hidup lebih praktis.;Positif
Drones digunakan untuk pengiriman barang.;Netral
3D printing bisa mencetak berbagai benda.;Netral
Biotechnology menghasilkan obat-obatan baru.;Netral
Nanotechnology bekerja pada skala atom.;Netral
Quantum computing memiliki kecepatan luar biasa.;Netral
SpaceX berencana mengirim orang ke Mars.;Netral
Satelit membantu komunikasi di seluruh bumi.;Netral
Teleskop Hubble melihat galaksi yang jauh.;Negatif
Rover di Mars sedang mencari tanda kehidupan.;Netral
Stasiun luar angkasa mengorbit bumi kita.;Netral
Astronot berlatih keras sebelum ke luar angkasa.;Netral
Roket diluncurkan dari pusat antariksa.;Netral
Baterai lithium digunakan di hampir semua gadget.;Netral
Layar OLED memberikan warna yang lebih tajam.;Positif
Kamera mirrorless lebih ringan dari DSLR.;Netral
Smartwatch bisa memantau detak jantung.;Netral
Wireless charging menghilangkan keribetan kabel.;Negatif
Earbuds bluetooth sangat praktis dibawa.;Positif
Power bank menjadi penyelamat saat bepergian.;Negatif
Hard disk eksternal menyimpan banyak film.;Netral
SSD jauh lebih cepat dibanding HDD biasa.;Negatif
Router wifi memberikan koneksi internet rumah.;Netral
Modem USB bisa dibawa kemana-mana.;Netral
Printer inkjet bisa mencetak foto berkualitas.;Netral
Scanner digunakan untuk digitalisasi dokumen.;Netral
Keyboard mekanik sangat disukai gamer.;Positif
Mouse gaming punya sensitivitas yang tinggi.;Netral
Monitor curved memberikan efek imersif.;Netral
Speaker aktif menghasilkan suara yang mantap.;Positif
Headset gaming punya mikrofon yang jernih.;Netral
Webcam digunakan untuk rapat daring.;Netral
Microphone kondenser bagus untuk rekaman.;Positif
Joystick digunakan untuk bermain game pesawat.;Netral
Racing wheel membuat game balap terasa nyata.;Positif
Konsol game terbaru grafisnya sangat indah.;Positif
Handheld console bisa dimainkan di perjalanan.;Netral
PC gaming punya spesifikasi yang sangat tinggi.;Positif
Server rak digunakan oleh perusahaan besar.;Netral
Mainboard menghubungkan semua komponen PC.;Netral
VGA card menentukan performa grafis komputer.;Netral
RAM yang besar membuat multitasking lancar.;Positif
Cooling system menjaga suhu komponen tetap dingin.;Netral
Power supply memberikan daya ke seluruh sistem.;Netral
Casing PC punya desain yang beragam.;Netral
